PDF,Palavra,Frequência
PDF_2,eba,13
PDF_2,tarifárias,13
PDF_2,disponível,13
PDF_2,http,13
PDF_2,growth,13
PDF_2,dado,12
PDF_2,termos,12
PDF_2,níveis,12
PDF_2,poderiam,12
PDF_2,efeito,12
PDF_2,global,12
PDF_2,comércio,11
PDF_2,sun,11
PDF_2,zhang,11
PDF_2,dithmer,11
PDF_2,abdulai,11
PDF_3,medidas,116
PDF_3,comércio,66
PDF_3,países,50
PDF_3,antidumping,33
PDF_3,trade,31
PDF_3,país,30
PDF_3,salvaguarda,27
PDF_3,internacional,26
PDF_3,agrícolas,26
PDF_3,concorrência,24
PDF_3,produtos,24
PDF_3,importações,23
PDF_3,compensatórias,22
PDF_3,dezembro,20
PDF_3,defesa,20
PDF_3,modelo,20
PDF_3,completo,19
PDF_3,maior,18
PDF_3,comercial,18
PDF_3,efeitos,18
PDF_3,dado,18
PDF_3,objetivo,15
PDF_3,salvaguardas,14
PDF_3,mdcs,14
PDF_3,têm,14
PDF_3,custos,14
PDF_3,impacto,13
PDF_3,resultados,13
PDF_3,podem,13
PDF_3,subsídios,13
PDF_3,omc,12
PDF_3,gravitacional,12
PDF_3,período,11
PDF_3,mercado,11
PDF_3,outros,11
PDF_3,exportações,11
PDF_3,medida,11
PDF_3,segundo,10
PDF_3,economias,10
PDF_3,pode,10
PDF_3,setor,10
PDF_3,international,10
PDF_3,estados,10
PDF_3,economics,10
PDF_3,journal,10
PDF_3,avaliar,9
PDF_3,estatisticamente,9
PDF_3,comerciais,9
PDF_3,política,9
PDF_3,dumping,9
PDF_4,crédito,119
PDF_4,financeira,86
PDF_4,cartão,81
PDF_4,consumo,61
PDF_4,educação,53
PDF_4,pagamento,46
PDF_4,teoria,36
PDF_4,brasil,29
PDF_4,inadimplência,28
PDF_4,partir,28
PDF_4,uso,27
PDF_4,relação,26
PDF_4,financeiro,24
PDF_4,ção,24
PDF_4,rotativo,23
PDF_4,renda,23
PDF_4,figura,23
PDF_4,assim,22
PDF_4,evento,21
PDF_4,completo,21
PDF_4,dezembro,21
PDF_4,meio,21
PDF_4,possível,20
PDF_4,juros,20
PDF_4,tal,18
PDF_4,édito,18
PDF_4,minsky,17
PDF_4,conhecimento,17
PDF_4,financeiros,17
PDF_4,decisões,16
PDF_4,ano,16
PDF_4,riqueza,16
PDF_4,fortuna,16
PDF_4,cartões,16
PDF_4,pode,15
PDF_4,banco,14
PDF_4,meios,14
PDF_4,economia,14
PDF_4,modigliani,14
PDF_4,maior,14
PDF_4,fonte,14
PDF_4,keynesiana,13
PDF_4,agentes,13
PDF_4,alfabetização,13
PDF_4,outros,13
PDF_4,brochier,13
PDF_4,valor,13
PDF_4,fatura,13
PDF_4,parcelado,13
PDF_4,presente,12
PDF_5,empresas,101
PDF_5,lucro,72
PDF_5,tributário,58
PDF_5,planejamento,55
PDF_5,empresa,55
PDF_5,regime,51
PDF_5,nacional,49
PDF_5,simple,43
PDF_5,serviços,42
PDF_5,dezembro,35
PDF_5,lei,34
PDF_5,ano,33
PDF_5,tributação,31
PDF_5,presumido,29
PDF_5,apuração,28
PDF_5,faturamento,28
PDF_5,advocatícios,24
PDF_5,atividade,23
PDF_5,fator,23
PDF_5,tributos,22
PDF_5,real,22
PDF_5,evento,20
PDF_5,completo,20
PDF_5,análise,20
PDF_5,maior,20
PDF_5,folha,20
PDF_5,onde,20
PDF_5,sendo,20
PDF_5,art,20
PDF_5,valor,19
PDF_5,base,18
PDF_5,caso,17
PDF_5,optantes,17
PDF_5,pagamento,16
PDF_5,dado,16
PDF_5,imposto,16
PDF_5,aplicabilidade,16
PDF_5,técnicas,15
PDF_5,tributária,15
PDF_5,restaurantes,15
PDF_5,redução,14
PDF_5,acordo,14
PDF_5,irpj,14
PDF_5,relação,14
PDF_5,anexo,14
PDF_5,atividades,13
PDF_5,funcionários,13
PDF_5,brasil,13
PDF_5,impostos,13
PDF_5,complementar,13
PDF_6,teletrabalho,42
PDF_6,pessoas,32
PDF_6,tempo,31
PDF_6,modalidade,28
PDF_6,office,27
PDF_6,paulo,26
PDF_6,vida,26
PDF_6,home,25
PDF_6,pandemia,24
PDF_6,casa,22
PDF_6,barros,21
PDF_6,trabalhadores,21
PDF_6,redução,21
PDF_6,empresas,20
PDF_6,remoto,20
PDF_6,vantagens,19
PDF_6,melhor,19
PDF_6,dia,18
PDF_6,custos,18
PDF_6,maior,18
PDF_6,dezembro,17
PDF_6,neto,17
PDF_6,profissional,17
PDF_6,isolamento,17
PDF_6,evento,16
PDF_6,completo,16
PDF_6,produtividade,16
PDF_6,administração,16
PDF_6,http,16
PDF_6,pessoal,15
PDF_6,flexibilidade,15
PDF_6,social,15
PDF_6,modelo,14
PDF_6,colaboradores,14
PDF_6,qualidade,14
PDF_6,saúde,14
PDF_6,tabela,13
PDF_6,durante,12
PDF_6,empregados,12
PDF_6,trabalhar,12
PDF_6,empresa,12
PDF_6,ambiente,12
PDF_6,menos,12
PDF_6,gestão,12
PDF_6,deslocamento,12
PDF_6,relações,11
PDF_6,resultados,11
PDF_6,nova,10
PDF_6,covid,10
PDF_6,ainda,10
PDF_7,desenvolvimento,97
PDF_7,municípios,78
PDF_7,fpm,67
PDF_7,municipal,42
PDF_7,transferências,33
PDF_7,educação,33
PDF_7,dezembro,29
PDF_7,evento,28
PDF_7,completo,28
PDF_7,recursos,28
PDF_7,análise,27
PDF_7,mina,26
PDF_7,fiscal,24
PDF_7,mesorregiões,23
PDF_7,fundo,23
PDF_7,participação,22
PDF_7,educacional,22
PDF_7,resultados,22
PDF_7,ifdm,21
PDF_7,distribuição,21
PDF_7,implicações,20
PDF_7,menor,20
PDF_7,entes,20
PDF_7,nível,18
PDF_7,variável,18
PDF_7,capacidade,17
PDF_7,intergovernamentais,17
PDF_7,ribeiro,17
PDF_7,socioeconômico,16
PDF_7,regionais,16
PDF_7,valor,16
PDF_7,abrantes,15
PDF_7,mesorregião,15
PDF_7,influência,15
PDF_7,variáveis,15
PDF_7,financeira,14
PDF_7,estado,14
PDF_7,município,14
PDF_7,longo,14
PDF_7,políticas,13
PDF_7,gerais,13
PDF_7,índice,12
PDF_7,efeitos,12
PDF_7,brasil,12
PDF_7,conforme,12
PDF_7,efeito,12
PDF_7,repasses,11
PDF_7,regiões,11
PDF_7,fonte,11
PDF_7,receitas,11
PDF_8,social,43
PDF_8,doméstico,36
PDF_8,brasil,33
PDF_8,fragoso,30
PDF_8,escravidão,26
PDF_8,gouvêa,25
PDF_8,colonial,24
PDF_8,livres,22
PDF_8,liberdade,22
PDF_8,escravos,21
PDF_8,relações,20
PDF_8,forma,19
PDF_8,cativos,19
PDF_8,hierarquia,18
PDF_8,alforria,18
PDF_8,século,18
PDF_8,rio,17
PDF_8,janeiro,17
PDF_8,mulheres,16
PDF_8,assim,16
PDF_8,maior,16
PDF_8,xix,16
PDF_8,remunerado,15
PDF_8,estamental,15
PDF_8,compadrio,15
PDF_8,completo,14
PDF_8,servidão,14
PDF_8,período,14
PDF_8,domésticas,14
PDF_8,sociedade,14
PDF_8,livre,14
PDF_8,sociais,14
PDF_8,evento,13
PDF_8,dezembro,13
PDF_8,relação,13
PDF_8,condição,13
PDF_8,categoria,12
PDF_8,costumeira,12
PDF_8,brasileira,12
PDF_8,contexto,11
PDF_8,escravatura,10
PDF_8,sendo,10
PDF_8,pobres,10
PDF_8,forros,10
PDF_8,através,10
PDF_8,senhor,10
PDF_8,mestiçagem,9
PDF_8,negro,9
PDF_8,apesar,9
PDF_8,pardos,9
PDF_9,sim,61
PDF_9,empresas,52
PDF_9,capital,50
PDF_9,fabricação,49
PDF_9,integrado,43
PDF_9,natural,41
PDF_9,sustentabilidade,38
PDF_9,relato,37
PDF_9,informações,29
PDF_9,completo,26
PDF_9,http,26
PDF_9,emissões,25
PDF_9,divulgação,24
PDF_9,carbono,23
PDF_9,dezembro,22
PDF_9,meio,22
PDF_9,relatório,21
PDF_9,relatórios,21
PDF_9,indústria,21
PDF_9,evento,20
PDF_9,organização,20
PDF_9,produtos,19
PDF_9,energia,19
PDF_9,potencial,18
PDF_9,empresa,18
PDF_9,valor,16
PDF_9,produção,16
PDF_9,poluidor,15
PDF_9,alto,15
PDF_9,resíduos,15
PDF_9,companhia,15
PDF_9,recuperado,15
PDF_9,ambientais,14
PDF_9,organizações,14
PDF_9,acordo,14
PDF_9,minerais,14
PDF_9,inclusive,13
PDF_9,áreas,13
PDF_9,hectare,13
PDF_9,forma,12
PDF_9,amostra,12
PDF_9,água,12
PDF_9,tratamento,12
PDF_9,estrutura,12
PDF_9,vale,12
PDF_9,relatos,11
PDF_9,integrados,11
PDF_9,fim,11
PDF_9,artefatos,11
PDF_9,nacional,11
PDF_10,pública,102
PDF_10,iluminação,94
PDF_10,cip,82
PDF_10,recursos,58
PDF_10,municípios,51
PDF_10,contribuição,43
PDF_10,receitas,35
PDF_10,gestão,31
PDF_10,art,31
PDF_10,município,28
PDF_10,custeio,27
PDF_10,despesas,27
PDF_10,serviço,26
PDF_10,lei,24
PDF_10,tributária,24
PDF_10,dezembro,23
PDF_10,receita,22
PDF_10,controle,22
PDF_10,fonte,21
PDF_10,federal,20
PDF_10,estado,19
PDF_10,arrecadação,18
PDF_10,forma,17
PDF_10,evento,16
PDF_10,completo,16
PDF_10,dado,16
PDF_10,constitucional,16
PDF_10,brasil,15
PDF_10,energia,15
PDF_10,contas,14
PDF_10,meio,14
PDF_10,tribunal,14
PDF_10,catarina,14
PDF_10,serviços,13
PDF_10,tributos,13
PDF_10,iii,13
PDF_10,assim,12
PDF_10,tributário,12
PDF_10,públicas,11
PDF_10,tributo,11
PDF_10,competência,11
PDF_10,municipal,11
PDF_10,constituição,11
PDF_10,pode,11
PDF_10,finalidade,11
PDF_10,despesa,11
PDF_10,fortaleza,11
PDF_10,planejamento,10
PDF_10,contribuições,10
PDF_10,deve,10
PDF_11,planejamento,67
PDF_11,capacidade,47
PDF_11,estatal,33
PDF_11,municípios,33
PDF_11,capacidades,32
PDF_11,governamental,27
PDF_11,municipal,24
PDF_11,estatais,24
PDF_11,orçamento,21
PDF_11,público,21
PDF_11,forma,21
PDF_11,gestão,19
PDF_11,políticas,18
PDF_11,locais,17
PDF_11,plano,17
PDF_11,quadro,16
PDF_11,literatura,15
PDF_11,base,15
PDF_11,recursos,14
PDF_11,revisão,14
PDF_11,brasil,14
PDF_11,local,14
PDF_11,evento,13
PDF_11,completo,13
PDF_11,dezembro,13
PDF_11,lima,13
PDF_11,objetivo,13
PDF_11,cada,13
PDF_11,análise,12
PDF_11,construção,11
PDF_11,governos,11
PDF_11,documentos,11
PDF_11,pública,11
PDF_11,federal,10
PDF_11,municipais,10
PDF_11,sistemática,10
PDF_11,resultados,10
PDF_11,partir,10
PDF_11,brasileiros,10
PDF_11,revista,10
PDF_11,instrumento,9
PDF_11,deste,9
PDF_11,planning,9
PDF_11,state,9
PDF_11,busca,9
PDF_11,objetivos,9
PDF_11,desenvolvimento,9
PDF_11,administração,9
PDF_11,contexto,9
PDF_11,relação,8
PDF_12,gestão,54
PDF_12,qualidade,49
PDF_12,agronegócio,27
PDF_12,empresa,25
PDF_12,água,22
PDF_12,gerenciamento,19
PDF_12,rotina,19
PDF_12,setor,18
PDF_12,serviço,18
PDF_12,melhoria,18
PDF_12,evento,16
PDF_12,completo,16
PDF_12,dezembro,16
PDF_12,processos,16
PDF_12,microprocesso,16
PDF_12,processo,15
PDF_12,instalação,14
PDF_12,análise,13
PDF_12,estação,12
PDF_12,curso,12
PDF_12,organização,12
PDF_12,assim,12
PDF_12,onde,11
PDF_12,economia,10
PDF_12,brasileiro,10
PDF_12,pib,10
PDF_12,total,10
PDF_12,carvalho,10
PDF_12,caso,9
PDF_12,vez,9
PDF_12,deste,9
PDF_12,estações,9
PDF_12,sendo,9
PDF_12,ferramentas,9
PDF_12,clientes,9
PDF_12,quality,9
PDF_12,tqm,8
PDF_12,universidade,8
PDF_12,competitividade,8
PDF_12,através,8
PDF_12,realizado,8
PDF_12,etapa,8
PDF_12,instalações,8
PDF_12,controle,8
PDF_12,figura,8
PDF_12,federal,7
PDF_12,desde,7
PDF_12,etapas,7
PDF_12,conceitos,7
PDF_12,partir,7
PDF_13,rpps,72
PDF_13,regime,59
PDF_13,previdência,52
PDF_13,social,35
PDF_13,servidores,32
PDF_13,investimento,29
PDF_13,eficiência,28
PDF_13,ineficiência,28
PDF_13,atuarial,28
PDF_13,regras,27
PDF_13,estados,26
PDF_13,variável,25
PDF_13,total,24
PDF_13,modelo,24
PDF_13,http,24
PDF_13,próprios,22
PDF_13,variáveis,20
PDF_13,brasil,20
PDF_13,investimentos,19
PDF_13,contribuição,19
PDF_13,gestão,19
PDF_13,análise,18
PDF_13,fronteira,18
PDF_13,financeira,18
PDF_13,pode,18
PDF_13,dezembro,17
PDF_13,previdenciário,17
PDF_13,ente,17
PDF_13,evento,16
PDF_13,completo,16
PDF_13,ativos,16
PDF_13,representa,16
PDF_13,resultado,15
PDF_13,financeiro,15
PDF_13,lima,15
PDF_13,north,15
PDF_13,públicos,14
PDF_13,relação,14
PDF_13,valor,14
PDF_13,dado,14
PDF_13,brasileiros,13
PDF_13,recursos,13
PDF_13,analisar,13
PDF_13,média,13
PDF_13,formais,13
PDF_13,federal,13
PDF_13,federado,13
PDF_13,indivíduos,13
PDF_13,jogadores,13
PDF_13,poi,12
PDF_14,feiras,55
PDF_14,empresa,46
PDF_14,competitiva,45
PDF_14,fase,43
PDF_14,empresas,40
PDF_14,inteligência,39
PDF_14,curitiba,38
PDF_14,informações,38
PDF_14,tabela,34
PDF_14,artesanato,30
PDF_14,feira,28
PDF_14,dezembro,26
PDF_14,evento,25
PDF_14,completo,25
PDF_14,feirantes,23
PDF_14,pergunta,22
PDF_14,informação,22
PDF_14,fonte,21
PDF_14,análise,20
PDF_14,dado,18
PDF_14,livres,17
PDF_14,competitive,17
PDF_14,pequenas,16
PDF_14,onde,16
PDF_14,intelligence,16
PDF_14,cada,15
PDF_14,http,15
PDF_14,modelo,14
PDF_14,empreendedorismo,14
PDF_14,perfil,14
PDF_14,base,14
PDF_14,coleta,14
PDF_14,total,14
PDF_14,negócios,13
PDF_14,figura,13
PDF_14,small,13
PDF_14,pequenos,12
PDF_14,produtos,12
PDF_14,conhecer,12
PDF_14,pontuação,12
PDF_14,uso,11
PDF_14,outros,11
PDF_14,inovação,11
PDF_14,ciclo,11
PDF_14,critérios,11
PDF_14,tipo,11
PDF_14,ensino,11
PDF_14,cenário,10
PDF_14,brasil,10
PDF_14,mudanças,10
PDF_15,ensino,111
PDF_15,remoto,78
PDF_15,covid,39
PDF_15,professores,37
PDF_15,falta,37
PDF_15,desafios,30
PDF_15,experiência,27
PDF_15,tempo,26
PDF_15,emergencial,25
PDF_15,whalen,23
PDF_15,alunos,22
PDF_15,educação,21
PDF_15,estudantes,21
PDF_15,completo,20
PDF_15,dezembro,20
PDF_15,teletrabalho,20
PDF_15,parte,20
PDF_15,evento,19
PDF_15,pandemia,19
PDF_15,ano,19
PDF_15,rondini,19
PDF_15,dado,18
PDF_15,education,18
PDF_15,adaptação,17
PDF_15,participantes,17
PDF_15,acesso,17
PDF_15,gonçalo,16
PDF_15,ferramentas,16
PDF_15,sunde,16
PDF_15,atividades,15
PDF_15,nova,14
PDF_15,pode,14
PDF_15,online,13
PDF_15,tecnologias,12
PDF_15,dificuldades,12
PDF_15,niterói,12
PDF_15,tabela,12
PDF_15,learning,12
PDF_15,enfrentados,11
PDF_15,conhecimento,11
PDF_15,transição,10
PDF_15,resultados,10
PDF_15,estrutura,10
PDF_15,computador,10
PDF_15,smartphone,10
PDF_15,comunicação,10
PDF_15,social,10
PDF_15,acordo,10
PDF_15,internet,10
PDF_15,processo,10
PDF_16,sistema,38
PDF_16,organização,33
PDF_16,administração,33
PDF_16,forma,31
PDF_16,corpo,28
PDF_16,humano,28
PDF_16,processo,27
PDF_16,fim,26
PDF_16,empresa,25
PDF_16,pode,25
PDF_16,diferentes,24
PDF_16,recursos,24
PDF_16,partir,24
PDF_16,vez,22
PDF_16,organismo,21
PDF_16,nível,21
PDF_16,mecanismos,20
PDF_16,áreas,19
PDF_16,processos,19
PDF_16,sistemas,19
PDF_16,quais,19
PDF_16,evento,18
PDF_16,completo,18
PDF_16,dezembro,18
PDF_16,relação,18
PDF_16,empresas,18
PDF_16,além,17
PDF_16,paulo,17
PDF_16,contexto,16
PDF_16,organismos,16
PDF_16,assim,16
PDF_16,onde,16
PDF_16,dessa,16
PDF_16,organizações,16
PDF_16,visão,15
PDF_16,organizacional,15
PDF_16,ambiente,15
PDF_16,prática,14
PDF_16,podem,14
PDF_16,natureza,14
PDF_16,ainda,14
PDF_16,maior,14
PDF_16,caráter,14
PDF_16,desenvolvimento,14
PDF_16,nesse,14
PDF_16,através,14
PDF_16,conceitos,13
PDF_16,outros,13
PDF_16,parte,13
PDF_16,cada,13
PDF_17,empresas,75
PDF_17,inovação,70
PDF_17,ação,35
PDF_17,produtividade,34
PDF_17,plano,34
PDF_17,gestão,32
PDF_17,pequenas,31
PDF_17,micro,29
PDF_17,radar,27
PDF_17,ali,25
PDF_17,atividades,23
PDF_17,dado,23
PDF_17,variáveis,21
PDF_17,resultados,21
PDF_17,tabela,17
PDF_17,dezembro,16
PDF_17,amostra,16
PDF_17,dimensões,16
PDF_17,média,16
PDF_17,operações,15
PDF_17,marketing,15
PDF_17,sistemali,15
PDF_17,evento,14
PDF_17,completo,14
PDF_17,análise,13
PDF_17,contexto,13
PDF_17,fonte,13
PDF_17,metodologia,12
PDF_17,indicador,12
PDF_17,valor,12
PDF_17,ações,12
PDF_17,indicadores,12
PDF_17,digital,12
PDF_17,modelo,11
PDF_17,pode,11
PDF_17,práticas,11
PDF_17,elaborado,11
PDF_17,figura,11
PDF_17,sebrae,10
PDF_17,variação,10
PDF_17,empresa,10
PDF_17,papel,9
PDF_17,negócios,9
PDF_17,cada,9
PDF_17,soluções,9
PDF_17,quatro,9
PDF_17,sustentáveis,9
PDF_17,transformação,9
PDF_17,conforme,9
PDF_17,programa,8
PDF_18,projetos,57
PDF_18,gestão,42
PDF_18,tjdft,34
PDF_18,http,32
PDF_18,gppti,31
PDF_18,resultados,30
PDF_18,processo,23
PDF_18,guia,22
PDF_18,tecnologia,21
PDF_18,framework,20
PDF_18,portfólio,20
PDF_18,entrega,20
PDF_18,ágil,19
PDF_18,transparência,19
PDF_18,informação,18
PDF_18,processos,18
PDF_18,priorização,18
PDF_18,monitoramento,16
PDF_18,execução,15
PDF_18,governança,14
PDF_18,evento,13
PDF_18,completo,13
PDF_18,dezembro,13
PDF_18,métodos,13
PDF_18,lean,13
PDF_18,encerramento,13
PDF_18,disponível,13
PDF_18,além,12
PDF_18,demandas,12
PDF_18,desenvolvimento,12
PDF_18,ainda,12
PDF_18,acesso,12
PDF_18,comunicação,11
PDF_18,objetivos,11
PDF_18,serviços,11
PDF_18,valor,11
PDF_18,fase,11
PDF_18,tribunal,10
PDF_18,ágeis,10
PDF_18,scrum,10
PDF_18,software,10
PDF_18,justiça,9
PDF_18,distrito,9
PDF_18,federal,9
PDF_18,principais,9
PDF_18,kanban,9
PDF_18,entrada,9
PDF_18,cnj,9
PDF_18,nível,9
PDF_18,práticas,9
PDF_19,estado,80
PDF_19,pública,66
PDF_19,administração,64
PDF_19,modelo,43
PDF_19,burocracia,40
PDF_19,poder,35
PDF_19,sociedade,22
PDF_19,brasil,22
PDF_19,processo,21
PDF_19,diante,21
PDF_19,formação,20
PDF_19,público,20
PDF_19,gestão,19
PDF_19,papel,19
PDF_19,desenvolvimento,19
PDF_19,assim,19
PDF_19,públicos,18
PDF_19,capacidade,17
PDF_19,democracia,17
PDF_19,weber,17
PDF_19,nova,17
PDF_19,evento,16
PDF_19,completo,16
PDF_19,dezembro,16
PDF_19,políticas,16
PDF_19,dominação,16
PDF_19,sendo,16
PDF_19,política,16
PDF_19,setor,16
PDF_19,instituições,15
PDF_19,importante,15
PDF_19,pode,15
PDF_19,formas,14
PDF_19,surgimento,14
PDF_19,necessidade,13
PDF_19,dizer,13
PDF_19,patrimonialista,13
PDF_19,públicas,13
PDF_19,ainda,12
PDF_19,frente,11
PDF_19,modelos,11
PDF_19,partir,11
PDF_19,accountability,11
PDF_19,fim,11
PDF_19,bem,11
PDF_19,burocrático,11
PDF_19,nesse,11
PDF_19,controle,11
PDF_19,desenvolvimentista,10
PDF_19,além,10
PDF_20,copos,44
PDF_20,ano,36
PDF_20,federal,34
PDF_20,consumo,33
PDF_20,compras,32
PDF_20,gestão,26
PDF_20,papel,26
PDF_20,descartáveis,25
PDF_20,ifpi,23
PDF_20,aquisição,23
PDF_20,campus,23
PDF_20,dado,22
PDF_20,sustentável,22
PDF_20,ambiental,22
PDF_20,período,21
PDF_20,sustentabilidade,19
PDF_20,instituto,19
PDF_20,piauí,19
PDF_20,ambiente,19
PDF_20,ações,18
PDF_20,sustentáveis,18
PDF_20,dezembro,17
PDF_20,meio,17
PDF_20,brasil,16
PDF_20,evento,15
PDF_20,completo,15
PDF_20,pública,14
PDF_20,deste,13
PDF_20,públicas,12
PDF_20,administração,12
PDF_20,instituição,12
PDF_20,http,12
PDF_20,educação,11
PDF_20,sistema,11
PDF_20,uso,11
PDF_20,desenvolvimento,11
PDF_20,processo,10
PDF_20,itens,10
PDF_20,plano,10
PDF_20,produção,10
PDF_20,ambientais,10
PDF_20,produtos,10
PDF_20,recursos,10
PDF_20,práticas,10
PDF_20,campi,10
PDF_20,figura,10
PDF_20,disponível,10
PDF_20,outros,9
PDF_20,maior,9
PDF_20,análise,9
PDF_21,gestão,97
PDF_21,contratos,67
PDF_21,riscos,58
PDF_21,serviços,58
PDF_21,execução,40
PDF_21,contratual,39
PDF_21,contrato,35
PDF_21,administração,33
PDF_21,evento,32
PDF_21,mão,30
PDF_21,obra,30
PDF_21,público,27
PDF_21,processo,27
PDF_21,federal,25
PDF_21,servidores,25
PDF_21,terceirização,25
PDF_21,dezembro,23
PDF_21,setor,23
PDF_21,sudeste,22
PDF_21,quadro,22
PDF_21,concordância,22
PDF_21,completo,21
PDF_21,gestor,21
PDF_21,disponível,20
PDF_21,http,20
PDF_21,cessão,19
PDF_21,instituição,19
PDF_21,fase,19
PDF_21,processos,18
PDF_21,contratação,18
PDF_21,eventos,18
PDF_21,análise,18
PDF_21,terceirizados,18
PDF_21,pública,18
PDF_21,fiscal,18
PDF_21,procedimentos,17
PDF_21,acompanhamento,17
PDF_21,nível,16
PDF_21,discordância,16
PDF_21,caso,14
PDF_21,técnico,14
PDF_21,lei,14
PDF_21,dado,14
PDF_21,durante,13
PDF_21,avaliação,13
PDF_21,atividades,12
PDF_21,gestores,12
PDF_21,técnicas,12
PDF_21,resultados,12
PDF_21,norma,12
PDF_22,criptomoedas,49
PDF_22,variáveis,47
PDF_22,mercado,45
PDF_22,preços,42
PDF_22,incerteza,39
PDF_22,bitcoin,38
PDF_22,ucry,36
PDF_22,dezembro,34
PDF_22,evento,29
PDF_22,completo,29
PDF_22,variável,27
PDF_22,índice,23
PDF_22,valor,23
PDF_22,teste,21
PDF_22,moeda,20
PDF_22,política,20
PDF_22,prazo,19
PDF_22,função,18
PDF_22,período,17
PDF_22,modelo,17
PDF_22,tempo,16
PDF_22,decomposição,16
PDF_22,ribeiro,16
PDF_22,maior,15
PDF_22,político,14
PDF_22,variância,14
PDF_22,financeiro,13
PDF_22,sistema,13
PDF_22,tendência,13
PDF_22,stress,13
PDF_22,endógenas,12
PDF_22,ativos,12
PDF_22,impulso,12
PDF_22,vetor,12
PDF_22,quais,11
PDF_22,curto,11
PDF_22,economia,11
PDF_22,erro,11
PDF_22,demanda,11
PDF_22,quanto,10
PDF_22,preço,10
PDF_22,agentes,10
PDF_22,indicadores,10
PDF_22,marx,10
PDF_22,ouro,10
PDF_22,sendo,10
PDF_22,keynes,10
PDF_22,erros,9
PDF_22,séries,9
PDF_22,flutuações,9
PDF_23,social,103
PDF_23,assistência,75
PDF_23,políticas,62
PDF_23,sociais,53
PDF_23,federalismo,38
PDF_23,governo,34
PDF_23,meio,27
PDF_23,estado,26
PDF_23,aumento,25
PDF_23,sendo,21
PDF_23,entes,21
PDF_23,federados,21
PDF_23,lopreato,21
PDF_23,silva,20
PDF_23,assim,20
PDF_23,brasil,20
PDF_23,política,19
PDF_23,descentralização,19
PDF_23,federal,18
PDF_23,além,18
PDF_23,estados,18
PDF_23,bercovici,18
PDF_23,aponta,17
PDF_23,evento,16
PDF_23,completo,16
PDF_23,dezembro,16
PDF_23,maior,16
PDF_23,serviços,16
PDF_23,caráter,15
PDF_23,públicas,15
PDF_23,coordenação,15
PDF_23,implementação,15
PDF_23,desigualdades,15
PDF_23,pública,14
PDF_23,pacto,14
PDF_23,poder,14
PDF_23,proteção,14
PDF_23,programas,14
PDF_23,vargas,13
PDF_23,municípios,13
PDF_23,abrucio,13
PDF_23,federativo,12
PDF_23,militar,12
PDF_23,modo,12
PDF_23,criação,12
PDF_23,direito,12
PDF_23,governos,12
PDF_23,objetivo,12
PDF_23,autonomia,12
PDF_23,relações,12
PDF_24,motivação,85
PDF_24,desempenho,69
PDF_24,trabalhadores,41
PDF_24,teoria,40
PDF_24,resultados,35
PDF_24,fatores,32
PDF_24,entrevistados,30
PDF_24,empresa,29
PDF_24,empresas,28
PDF_24,necessidades,28
PDF_24,satisfação,27
PDF_24,setor,26
PDF_24,atividades,25
PDF_24,variável,23
PDF_24,objetivos,22
PDF_24,metas,20
PDF_24,evento,18
PDF_24,completo,18
PDF_24,dezembro,18
PDF_24,forma,18
PDF_24,aumento,17
PDF_24,assim,17
PDF_24,realização,17
PDF_24,relação,17
PDF_24,indivíduo,17
